epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,13509.6,1.07728,0.5498,1.13113,0.61362,0.61624,0.63308,0.41671,1.27834,0.58807,1.26221,0.000382115,0.000382115,0.000382115
76,13636.2,1.06913,0.54405,1.12204,0.61363,0.59868,0.63369,0.41835,1.26954,0.59786,1.25688,0.000367967,0.000367967,0.000367967
77,13768.9,1.07829,0.55015,1.13216,0.61844,0.59432,0.63192,0.41575,1.27652,0.59575,1.2644,0.00035382,0.00035382,0.00035382
78,13897.6,1.07373,0.54132,1.12753,0.61134,0.6012,0.63411,0.42002,1.26864,0.5864,1.26061,0.000339673,0.000339673,0.000339673
79,14033.6,1.06277,0.5309,1.12164,0.61836,0.59684,0.63107,0.41585,1.27521,0.59131,1.26334,0.000325526,0.000325526,0.000325526
80,14163,1.06308,0.53734,1.12155,0.59834,0.62371,0.63282,0.41877,1.2738,0.59766,1.26098,0.000311379,0.000311379,0.000311379
81,14334.4,1.06208,0.53816,1.12167,0.60804,0.60138,0.6288,0.41655,1.27477,0.60439,1.26687,0.000297232,0.000297232,0.000297232
82,14554.8,1.05378,0.52929,1.11685,0.61764,0.59902,0.62968,0.41472,1.27953,0.59922,1.26399,0.000283085,0.000283085,0.000283085
83,14744.1,1.04737,0.52838,1.116,0.60895,0.60272,0.63063,0.41552,1.28636,0.59515,1.27127,0.000268938,0.000268938,0.000268938
84,14999,1.05014,0.52747,1.11417,0.61877,0.6093,0.63179,0.41812,1.27551,0.59505,1.2673,0.000254791,0.000254791,0.000254791
85,15149.5,1.04174,0.5189,1.11014,0.61008,0.61108,0.63122,0.41581,1.27529,0.59423,1.26345,0.000240644,0.000240644,0.000240644
86,15324,1.04293,0.52437,1.10778,0.61317,0.6098,0.63268,0.41798,1.27811,0.59709,1.26903,0.000226497,0.000226497,0.000226497
87,15484.4,1.03024,0.51635,1.10566,0.62247,0.6137,0.63314,0.41875,1.27476,0.59192,1.26264,0.000212349,0.000212349,0.000212349
88,15652.9,1.03765,0.50932,1.10514,0.62034,0.61506,0.63316,0.41894,1.27535,0.58961,1.26381,0.000198202,0.000198202,0.000198202
89,15809.7,1.03587,0.51064,1.10642,0.63088,0.60931,0.63312,0.41792,1.27413,0.58954,1.25843,0.000184055,0.000184055,0.000184055
