epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
89,52136.3,1.7496,3.07837,1.93492,1.36157,0,0.41824,0.29213,0.26996,0.13134,0.36881,0.2481,0.20558,0.06861,1.8136,3.10685,2.07696,1.43575,0,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,52799.8,1.74529,3.07577,1.9267,1.35799,0,0.41659,0.29341,0.26992,0.13158,0.36879,0.24795,0.20532,0.06851,1.81438,3.10653,2.07636,1.43541,0,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,53538.4,1.75128,2.98873,1.91397,1.39743,0,0.42,0.29256,0.27023,0.13196,0.36917,0.2479,0.20586,0.06857,1.81404,3.1067,2.07609,1.43485,0,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,54225.6,1.73692,2.96252,1.89059,1.3921,0,0.42164,0.29337,0.27076,0.13258,0.36971,0.24805,0.20637,0.06888,1.81412,3.10718,2.07626,1.43465,0,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,54924.2,1.72921,2.95673,1.87773,1.38543,0,0.42208,0.29485,0.27108,0.13288,0.37348,0.24753,0.20712,0.06911,1.81402,3.10732,2.07644,1.43434,0,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,55607.1,1.71796,2.94226,1.85654,1.38085,0,0.42313,0.29462,0.27154,0.13295,0.37571,0.24793,0.2076,0.06911,1.8142,3.10667,2.07651,1.43417,0,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,56278.4,1.71536,2.9345,1.84705,1.37812,0,0.42419,0.29456,0.27237,0.13332,0.3767,0.248,0.20794,0.06927,1.81456,3.10686,2.07621,1.43408,0,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,56955,1.70649,2.91767,1.83118,1.37258,0,0.42516,0.2955,0.27289,0.13364,0.37983,0.24682,0.20816,0.06938,1.81537,3.10662,2.07581,1.43436,0,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,57643.4,1.70414,2.91874,1.82766,1.3723,0,0.42572,0.29581,0.27321,0.13397,0.3797,0.24695,0.20785,0.0695,1.81567,3.10591,2.07513,1.43446,0,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,58341.2,1.69686,2.90958,1.81074,1.36501,0,0.42841,0.29569,0.27388,0.13414,0.37875,0.24896,0.20867,0.06973,1.81606,3.10627,2.07499,1.43446,0,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,59022.5,1.69242,2.8997,1.80039,1.36062,0,0.42799,0.29799,0.27484,0.13438,0.38021,0.24723,0.209,0.06984,1.81719,3.10634,2.07384,1.43485,0,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,59700,1.68627,2.89149,1.79058,1.35787,0,0.42921,0.29839,0.27506,0.13466,0.38103,0.24723,0.20929,0.06994,1.81801,3.10666,2.07261,1.43515,0,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
